customerID,tenure,Contract,gender,Churn
1891-QRQSA,64,Two year,Male,No
8028-PNXHQ,62,Two year,Male,No
5630-AHZIL,3,Month-to-month,Female,No
2673-CXQEU,56,One year,Female,No
6416-JNVRK,46,One year,Female,No
5590-ZSKRV,8,Month-to-month,Female,No
0191-ZHSKZ,30,Month-to-month,Male,No
3887-PBQAO,45,One year,Female,No
5919-TMRGD,1,Month-to-month,Female,Yes
8108-UXRQN,11,Month-to-month,Female,No
9191-MYQKX,7,Month-to-month,Female,Yes
9919-YLNNG,42,Month-to-month,Female,No
0318-ZOPWS,49,Two year,Female,No
4445-ZJNMU,9,Month-to-month,Male,No
4808-YNLEU,35,One year,Female,No
1862-QRWPE,48,Two year,Female,No
2796-NNUFI,46,Two year,Female,No
3016-KSVCP,29,Month-to-month,Male,No
4767-HZZHQ,30,Month-to-month,Male,No
2424-WVHPL,1,Month-to-month,Male,No
7233-PAHHL,66,Two year,Male,No
6067-NGCEU,65,Month-to-month,Female,No
9848-JQJTX,72,Two year,Male,No
8637-XJIVR,12,Month-to-month,Female,Yes
9803-FTJCG,71,One year,Male,No
0278-YXOOG,5,Month-to-month,Male,Yes
3212-KXOCR,52,Two year,Male,No
4598-XLKNJ,25,Month-to-month,Female,Yes
6380-ARCEH,1,Month-to-month,Male,No
3679-XASPY,1,Month-to-month,Female,No
7123-WQUHX,38,One year,Male,No
5386-THSLQ,66,One year,Female,No
3192-NQECA,68,Two year,Male,Yes
6180-YBIQI,5,Month-to-month,Male,No
6728-DKUCO,72,One year,Female,No
9750-BOOHV,32,One year,Female,No
8597-CWYHH,43,One year,Male,No
2848-YXSMW,72,Two year,Male,No
0486-HECZI,55,Month-to-month,Male,Yes
4549-ZDQYY,52,One year,Female,No
5712-AHQNN,43,Month-to-month,Female,No
4846-WHAFZ,37,Month-to-month,Female,Yes
5256-SKJGO,64,Two year,Female,No
3071-VBYPO,3,Month-to-month,Male,No
9560-BBZXK,36,Two year,Female,No
5299-RULOA,10,Month-to-month,Female,Yes
8402-OOOHJ,41,Two year,Female,No
9445-ZUEQE,27,Month-to-month,Male,No
1091-SOZGA,56,One year,Female,No
2928-HLDBA,6,Month-to-month,Female,No
0404-SWRVG,3,Month-to-month,Male,Yes
6497-TILVL,7,Month-to-month,Female,No
7219-TLZHO,4,Month-to-month,Female,No
4622-YNKIJ,33,Two year,Male,No
4412-YLTKF,27,Month-to-month,Female,Yes
6734-PSBAW,72,Two year,Male,No
3930-ZGWVE,1,Month-to-month,Male,No
2639-UGMAZ,71,One year,Male,No
2876-GZYZC,13,Month-to-month,Female,No
6207-WIOLX,25,Month-to-month,Female,Yes
8587-XYZSF,67,Two year,Male,No
3091-FYHKI,1,Month-to-month,Male,Yes
2372-HWUHI,2,Month-to-month,Male,Yes
7799-LGRDP,43,Two year,Female,No
7850-VWJUU,23,Month-to-month,Female,No
3774-VBNXY,64,Two year,Female,No
6217-KDYWC,57,Two year,Male,No
0390-DCFDQ,1,Month-to-month,Female,Yes
3146-MSEGF,72,Two year,Female,No
4080-OGPJL,8,Month-to-month,Female,Yes
1095-WGNGG,61,Two year,Female,No
2636-SJDOU,64,One year,Male,No
1131-QQZEB,71,Two year,Male,No
5716-EZXZN,65,Two year,Female,No
6837-BJYDQ,3,One year,Male,No
2135-RXIHG,1,Month-to-month,Male,Yes
6440-DKQGE,30,One year,Male,No
3466-BYAVD,15,Month-to-month,Male,No
3780-YVMFA,8,Month-to-month,Female,No
3874-EQOEP,7,Month-to-month,Male,Yes
1679-JRFBR,70,One year,Female,No
9073-ZZIAY,62,Two year,Male,No
3077-RSNTJ,6,Month-to-month,Female,No
6551-GNYDG,14,Month-to-month,Female,No
9167-APMXZ,22,Month-to-month,Female,No
2749-CTKAJ,22,One year,Male,No
6371-NZYEG,16,Two year,Male,No
7554-NEWDD,10,Two year,Male,No
8992-VONJD,13,Month-to-month,Female,No
0867-MKZVY,20,Month-to-month,Female,Yes
4482-EWFMI,2,Month-to-month,Female,No
4648-YPBTM,53,Two year,Male,No
2907-ILJBN,11,One year,Female,No
6345-FZOQH,69,Two year,Male,No
3376-BMGFE,4,Month-to-month,Female,Yes
5997-OPVFA,72,Two year,Male,No
3445-HXXGF,58,Month-to-month,Male,Yes
1159-WFSGR,16,Month-to-month,Female,No
7654-YWJUF,43,One year,Male,No
1875-QIVME,2,Month-to-month,Female,Yes
6727-IOTLZ,14,Two year,Male,No
0691-JVSYA,53,One year,Female,Yes
5918-VUKWP,32,One year,Female,No
1744-JHKYS,34,Month-to-month,Female,No
2656-FMOKZ,15,Month-to-month,Female,Yes
2070-FNEXE,7,Month-to-month,Female,Yes
5947-SGKCL,15,Month-to-month,Female,No
3712-PKXZA,61,One year,Male,No
6317-YPKDH,1,Month-to-month,Female,Yes
6582-OIVSP,1,Month-to-month,Female,No
9367-WXLCH,8,Month-to-month,Male,Yes
5524-KHNJP,33,One year,Male,No
1918-ZBFQJ,13,Month-to-month,Female,Yes
1024-GUALD,1,Month-to-month,Female,Yes
4827-USJHP,20,Month-to-month,Male,No
8167-GJLRN,3,Month-to-month,Male,No
0956-SYCWG,13,One year,Female,No
8017-UVSZU,40,Month-to-month,Female,No
7100-FQPRV,43,One year,Male,No
2472-OVKUP,6,Month-to-month,Male,Yes
2984-RGEYA,69,Two year,Female,No
9680-NIAUV,72,Two year,Female,No
2146-EGVDT,59,Two year,Male,No
2604-IJPDU,20,Month-to-month,Female,No
9178-JHUVJ,24,Two year,Male,No
6168-YBYNP,59,Month-to-month,Male,No
7255-SSFBC,72,Two year,Male,No
3645-DEYGF,1,Month-to-month,Male,No
9323-HGFWY,27,One year,Female,No
8544-GOQSH,14,Month-to-month,Female,No
3363-DTIVD,71,Two year,Male,No
7018-WBJNK,13,Month-to-month,Male,No
9142-KZXOP,44,Month-to-month,Male,No
7674-YTAFD,33,One year,Female,No
6348-SNFUS,72,Two year,Male,No
1285-OKIPP,1,Month-to-month,Male,Yes
7825-ECJRF,19,Month-to-month,Female,Yes
1347-KTTTA,64,One year,Male,No
7841-TZDMQ,2,Month-to-month,Male,Yes
4195-NZGTA,1,Month-to-month,Female,No
7157-SMCFK,61,Two year,Male,No
4709-LKHYG,29,One year,Female,No
2504-DSHIH,23,Month-to-month,Male,No
0699-NDKJM,57,Month-to-month,Female,No
9286-BHDQG,72,Two year,Male,No
0230-WEQUW,66,Two year,Male,No
2040-LDIWQ,65,Two year,Male,No
6496-JDSSB,8,Month-to-month,Female,No
9408-SSNVZ,4,Month-to-month,Female,Yes
4443-EMBNA,71,Two year,Female,No
6469-MRVET,1,One year,Male,No
0742-MOABM,4,Month-to-month,Male,Yes
5961-VUSRV,12,One year,Female,No
6778-JFCMK,24,One year,Male,No
6341-JVQGF,31,One year,Female,No
2232-DMLXU,1,Month-to-month,Female,Yes
4811-JBUVU,30,Month-to-month,Male,No
0945-TSONX,47,Two year,Female,No
2651-ZCBXV,54,Two year,Male,No
3316-UWXUY,50,Month-to-month,Male,No
8937-RDTHP,1,Month-to-month,Male,Yes
7083-MIOPC,72,Two year,Female,No
1984-GPTEH,29,Month-to-month,Female,No
1251-KRREG,2,Month-to-month,Male,Yes
0621-JFHOL,10,Two year,Female,No
9903-LYSAB,18,Month-to-month,Male,No
0094-OIFMO,11,Month-to-month,Female,Yes
9227-UAQFT,16,Two year,Male,No
7301-ABVAD,72,Two year,Female,No
6614-FHDBO,72,Two year,Male,No
7576-ASEJU,41,One year,Female,No
9058-HRZSV,65,Month-to-month,Female,No
4522-AKYLR,13,Month-to-month,Female,No
0221-WMXNQ,4,Month-to-month,Male,No
0303-UNCIP,41,One year,Male,No
9947-OTFQU,15,Month-to-month,Male,Yes
0322-YINQP,1,Month-to-month,Male,Yes
0959-WHOKV,42,One year,Male,No
4075-JFPGR,51,One year,Female,No
4629-NRXKX,2,Month-to-month,Female,Yes
9514-JDSKI,1,Month-to-month,Male,Yes
3282-ZISZV,32,One year,Male,No
3675-YDUPJ,10,Month-to-month,Male,No
4111-BNXIF,67,Two year,Female,No
7017-VFHAY,61,Two year,Female,No
6655-LHBYW,50,One year,Male,No
4959-JOSRX,2,Month-to-month,Female,Yes
5046-NUHWD,29,Month-to-month,Female,No
7273-TEFQD,3,Month-to-month,Male,Yes
3606-TWKGI,13,Month-to-month,Male,Yes
7529-ZDFXI,57,Month-to-month,Male,No
7605-BDWDC,31,Two year,Female,No
1950-KSVVJ,45,One year,Female,No
0123-CRBRT,61,Two year,Female,No
6292-TOSSS,50,Two year,Male,No
3197-ARFOY,19,Month-to-month,Female,No
6323-AYBRX,59,Two year,Male,Yes
7014-ZZXAW,71,Two year,Female,No
4385-GZQXV,16,Month-to-month,Female,Yes
7633-MVPUY,57,Two year,Male,No
6366-ZGQGL,1,Month-to-month,Male,Yes
4716-HHKQH,20,Month-to-month,Male,No
5940-AHUHD,1,Month-to-month,Male,Yes
6432-TWQLB,5,Month-to-month,Male,Yes
4484-GLZOU,52,Month-to-month,Female,Yes
3179-GBRWV,21,Month-to-month,Male,No
8645-KWHJO,14,Month-to-month,Male,No
4130-MZLCC,5,Month-to-month,Female,No
0314-TKOSI,6,Month-to-month,Female,No
8229-MYEJZ,10,Month-to-month,Female,No
2080-SRCDE,1,Month-to-month,Female,No
9577-WJVCQ,68,Month-to-month,Female,No
9512-UIBFX,18,Month-to-month,Male,Yes
6202-DYYFX,22,One year,Female,No
3808-HFKDE,20,Month-to-month,Female,No
5583-SXDAG,1,Month-to-month,Male,Yes
3488-PGMQJ,8,Month-to-month,Male,Yes
3580-REOAC,10,Month-to-month,Male,Yes
7534-BFESC,24,Month-to-month,Male,Yes
3727-OWVYD,35,One year,Male,No
2294-SALNE,23,One year,Male,No
4847-TAJYI,6,Month-to-month,Female,No
1563-IWQEX,12,Month-to-month,Female,No
8203-XJZRC,1,Month-to-month,Male,No
6556-DBKZF,71,Two year,Female,No
6851-WEFYX,35,Month-to-month,Male,No
2985-JUUBZ,40,Month-to-month,Male,No
6390-DSAZX,1,Month-to-month,Female,Yes
0895-LMRSF,23,One year,Male,No
8098-LLAZX,4,Month-to-month,Female,Yes
8266-VBFQL,4,Month-to-month,Male,No
8181-YHCMF,68,Two year,Female,No
2240-HSJQD,38,Month-to-month,Male,No
1248-DYXUB,52,Two year,Male,No
0265-EDXBD,32,Month-to-month,Male,Yes
4115-BNPJY,29,Two year,Male,No
3167-SNQPL,38,Month-to-month,Male,No
4091-TVOCN,48,One year,Male,No
1098-TDVUQ,1,Month-to-month,Female,No
7277-OZCGZ,22,Month-to-month,Female,No
1557-EMYVT,43,Two year,Female,No
2799-ARNLO,5,Month-to-month,Female,No
7563-BIUPC,5,Month-to-month,Male,Yes
5027-YOCXN,51,One year,Male,No
3973-SKMLN,71,Two year,Male,No
2321-OMBXY,38,One year,Female,Yes
2840-XANRC,24,Month-to-month,Male,Yes
6745-JEFZB,35,Month-to-month,Male,No
5020-ZSTTY,54,One year,Female,Yes
9880-TDQAC,72,Two year,Female,No
8705-WZCYL,1,Month-to-month,Male,No
7102-JJVTX,9,One year,Female,No
8626-PTQGE,69,Two year,Male,No
4983-CLMLV,52,Month-to-month,Female,No
5701-YVSVF,11,Month-to-month,Female,No
5804-LEPIM,2,Month-to-month,Female,Yes
5697-GOMBF,28,Month-to-month,Female,No
2739-CACDQ,17,Month-to-month,Female,No
9385-EHGDO,35,Two year,Female,No
9498-FIMXL,8,One year,Female,No
2379-GYFLQ,46,One year,Male,No
0122-OAHPZ,7,Month-to-month,Female,Yes
2868-SNELZ,2,Month-to-month,Female,Yes
4322-RCYMT,68,One year,Male,Yes
6680-NENYN,43,Two year,Female,Yes
2088-IEBAU,68,Two year,Female,No
7982-VCELR,36,Month-to-month,Female,No
1343-EHPYB,63,Month-to-month,Male,Yes
6035-BXTTY,32,Month-to-month,Female,No
6885-PKOAM,71,Two year,Female,No
7520-HQWJU,66,Month-to-month,Female,No
9639-BUJXT,63,One year,Male,No
5924-SNGKP,41,One year,Female,No
0021-IKXGC,1,Month-to-month,Female,No
2034-GDRCN,2,Month-to-month,Female,Yes
8966-SNIZF,70,Two year,Female,No
6243-OZGFH,23,Month-to-month,Female,No
4654-DLAMQ,64,One year,Female,No
0513-RBGPE,37,Two year,Male,No
5160-UXJED,17,One year,Male,No
4115-NZRKS,7,Month-to-month,Female,No
0219-YTZUE,4,Month-to-month,Male,Yes
0623-IIHUG,21,Month-to-month,Female,Yes
4572-DVCGN,10,Month-to-month,Female,Yes
3351-NGXYI,16,Month-to-month,Female,No
8984-EYLLL,64,Two year,Male,No
9057-MSWCO,27,Month-to-month,Male,Yes
9833-TGFHX,42,One year,Male,No
9294-TDIPC,5,Month-to-month,Male,No
5229-DTFYB,41,Two year,Female,No
0104-PPXDV,58,One year,Male,No
5176-LMJXE,47,Two year,Female,No
3583-KRKMD,18,Month-to-month,Male,No
1010-DIAUQ,5,Month-to-month,Male,Yes
9069-LGEUL,23,Month-to-month,Male,No
7302-ZHMHP,1,Month-to-month,Female,No
9571-EDEBV,71,One year,Male,No
3520-FJGCV,72,Two year,Male,No
6563-VRERX,33,One year,Male,No
0259-GBZSH,2,Month-to-month,Male,Yes
6122-EFVKN,24,Two year,Male,No
2805-EDJPQ,56,One year,Female,No
6862-CQUMB,37,Month-to-month,Male,No
7156-MXBJE,43,One year,Female,No
6158-HDPXZ,1,Month-to-month,Male,No
9601-BRXPO,25,Month-to-month,Female,Yes
2863-IMQDR,61,Two year,Female,No
5686-CMAWK,17,One year,Male,No
5651-CRHKQ,41,One year,Female,No
6905-NIQIN,1,Month-to-month,Male,Yes
8204-YJCLA,72,Two year,Male,No
5167-ZFFMM,1,Month-to-month,Male,Yes
6583-SZVGP,48,Two year,Male,No
4895-TMWIR,11,Month-to-month,Male,Yes
0533-BNWKF,55,Month-to-month,Female,Yes
1708-PBBOA,42,One year,Female,No
8782-LKFPK,44,Month-to-month,Male,No
5522-JBWMO,1,Month-to-month,Male,No
3597-MVHJT,27,Month-to-month,Female,No
9774-NRNAU,27,Month-to-month,Male,No
0224-RLWWD,2,Month-to-month,Female,No
9967-ATRFS,19,Month-to-month,Female,No
3951-NJCVI,42,Month-to-month,Female,No
2977-CEBSX,66,Two year,Female,No
0177-PXBAT,33,Month-to-month,Male,No
6599-CEBNN,34,Month-to-month,Female,Yes
2519-ERQOJ,33,Month-to-month,Male,No
5876-QMYLD,23,One year,Female,No
2277-AXSDC,32,One year,Female,No
9442-JTWDL,11,One year,Female,No
0979-PHULV,69,Month-to-month,Male,Yes
3067-SVMTC,68,One year,Female,No
5495-GPSRW,20,Two year,Male,No
7606-BPHHN,72,Two year,Male,No
4742-DRORA,60,One year,Male,No
0111-KLBQG,32,Month-to-month,Male,No
4800-VHZKI,1,Month-to-month,Female,Yes
7989-CHGTL,1,Month-to-month,Male,Yes
0334-GDDSO,3,Month-to-month,Male,Yes
4163-NCJAK,46,One year,Female,No
5233-AOZUF,29,Month-to-month,Female,No
5973-EJGDP,51,Month-to-month,Male,No
1996-DBMUS,48,Month-to-month,Female,No
7916-VCCPB,16,Month-to-month,Female,No
4686-GEFRM,70,Two year,Male,No
5249-QYHEX,40,Two year,Female,No
0578-SKVMF,22,Month-to-month,Female,Yes
5564-NEMQO,1,Month-to-month,Female,Yes
2233-FAGXV,5,Month-to-month,Female,No
5605-IYGFG,7,Month-to-month,Female,No
7663-ZTEGJ,29,One year,Male,No
3935-TBRZZ,44,One year,Male,No
8111-BKVDS,10,Month-to-month,Female,No
2055-SIFSS,55,Month-to-month,Female,No
2806-MLNTI,52,One year,Male,No
8734-DKSTZ,10,Month-to-month,Female,No
4360-PNRQB,18,Month-to-month,Male,No
6152-ONASV,68,One year,Female,No
9063-ZGTUY,61,Month-to-month,Female,Yes
7781-HVGMK,72,Two year,Female,No
2181-UAESM,2,Month-to-month,Male,No
2957-LOLHO,12,Month-to-month,Male,Yes
6048-NJXHX,41,Two year,Male,No
2320-SLKMB,26,Month-to-month,Female,No
4980-URKXC,36,One year,Male,No
4376-KFVRS,72,Two year,Male,No
5886-VLQVU,35,Month-to-month,Male,No
3577-AMVUX,1,Month-to-month,Male,No
0771-WLCLA,16,Month-to-month,Female,No
5628-RKIFK,49,Month-to-month,Female,No
0206-TBWLC,54,One year,Female,No
2937-FTHUR,18,Month-to-month,Female,No
1910-FMXJM,36,Month-to-month,Female,No
7752-XUSCI,60,Month-to-month,Female,Yes
4110-PFEUZ,1,Month-to-month,Female,Yes
0732-OCQOC,52,Two year,Female,No
5168-MSWXT,8,Month-to-month,Male,No
1090-ESELR,72,Two year,Male,No
8592-PLTMQ,64,One year,Female,No
5760-WRAHC,22,Month-to-month,Female,No
8847-GEOOQ,60,Month-to-month,Male,No
0256-LTHVJ,28,Month-to-month,Female,Yes
4785-FCIFB,61,Two year,Female,No
8313-NDOIA,24,Month-to-month,Female,No
5149-CUZUJ,28,One year,Male,No
0942-KOWSM,30,Two year,Female,No
4237-CLSMM,2,Month-to-month,Male,No
1452-VOQCH,1,Month-to-month,Male,No
4719-UMSIY,6,Month-to-month,Male,No
6614-VBEGU,24,Month-to-month,Female,No
0880-TKATG,4,Month-to-month,Male,Yes
3811-VBYBZ,7,Month-to-month,Male,Yes
1480-BKXGA,72,Two year,Male,No
2996-XAUVF,70,Two year,Male,No
9076-AXYIK,64,Two year,Male,No
5968-XQIVE,72,One year,Male,No
8896-RAZCR,44,Two year,Female,No
4640-UHDOS,13,Month-to-month,Female,Yes
4933-IKULF,17,One year,Female,No
3583-EKAPL,1,Month-to-month,Male,Yes
1304-BCCFO,9,Month-to-month,Male,No
4104-PVRPS,24,Month-to-month,Male,No
9399-APLBT,1,Month-to-month,Female,Yes
2359-KMGLI,24,Month-to-month,Male,Yes
3780-DDGSE,35,Month-to-month,Male,No
4431-EDMIQ,7,Month-to-month,Female,No
0306-JAELE,5,Month-to-month,Male,Yes
6227-HWPWX,15,Month-to-month,Female,Yes
0486-LGCCH,11,Two year,Male,No
0447-BEMNG,48,Month-to-month,Female,Yes
4612-SSVHJ,20,Month-to-month,Female,No
5168-MQQCA,72,One year,Female,No
5949-XIKAE,8,Month-to-month,Female,Yes
7971-HLVXI,72,Two year,Male,No
9094-AZPHK,15,Month-to-month,Female,No
3649-JPUGY,72,Two year,Male,No
4472-LVYGI,0,Two year,Female,No
8372-JUXUI,1,Month-to-month,Male,Yes
3552-CTCYF,63,Two year,Male,No
6778-YSNIH,2,Month-to-month,Female,No
0388-EOPEX,2,Month-to-month,Female,Yes
5756-OZRIO,61,One year,Male,No
6579-JPICP,1,Month-to-month,Male,No
8205-OTCHB,22,One year,Male,Yes
4134-BSXLX,28,Month-to-month,Male,No
0505-SPOOW,70,Two year,Female,No
6235-VDHOM,5,Month-to-month,Female,Yes
7783-YKGDV,12,Month-to-month,Female,Yes
4374-YMUSQ,34,One year,Male,No
4513-CXYIX,71,Two year,Female,No
3957-HHLMR,70,One year,Female,No
7803-XOCCZ,52,Month-to-month,Female,No
5736-YEJAX,69,Two year,Male,No
5609-CEBID,20,Month-to-month,Female,Yes
8981-FJGLA,11,Month-to-month,Male,No
7218-HKQFK,2,Month-to-month,Male,Yes
4636-QRJKY,6,Month-to-month,Female,Yes
1135-LMECX,1,Month-to-month,Female,No
4332-MUOEZ,20,One year,Male,No
8535-SFUTN,61,Month-to-month,Male,No
5956-VKDTT,5,Month-to-month,Female,Yes
8677-HDZEE,56,Month-to-month,Female,No
2475-MROZF,30,Month-to-month,Male,No
9412-GHEEC,40,Month-to-month,Male,Yes
3482-ABPKK,28,One year,Female,No
6705-LXORM,5,Month-to-month,Female,No
0257-ZESQC,27,Month-to-month,Female,Yes
7531-GQHME,12,Month-to-month,Male,No
5174-ITUMV,67,One year,Male,No
4109-CYRBD,29,Month-to-month,Male,No
0913-XWSCN,55,Month-to-month,Male,No
6825-UYPFK,23,Month-to-month,Female,Yes
8397-MVTAZ,34,Month-to-month,Male,Yes
0750-EBAIU,52,One year,Male,No
8606-CIQUL,72,Two year,Male,No
3571-DPYUH,58,One year,Male,No
7601-GNDYK,35,Two year,Male,No
0356-OBMAC,56,Two year,Female,No
8067-NIOYM,24,Two year,Female,No
1403-GYAFU,70,Two year,Male,No
4234-XTNEA,2,Month-to-month,Male,No
1297-VQDRP,68,One year,Male,No
9282-IZGQK,1,Month-to-month,Female,Yes
5348-CAGXB,12,Month-to-month,Male,No
0621-HJWXJ,63,Month-to-month,Female,No
5844-QVTAT,33,One year,Female,No
8905-IAZPF,69,One year,Female,No
5394-MEITZ,60,Two year,Female,No
6859-QNXIQ,72,Two year,Female,No
2782-LFZVW,11,Month-to-month,Female,No
2866-IKBTM,1,Month-to-month,Female,No
1342-JPNKI,10,Month-to-month,Male,Yes
2817-NTQDO,13,Month-to-month,Male,Yes
7129-AZJDE,34,One year,Male,No
6986-IJDHX,39,Month-to-month,Male,Yes
2560-PPCHE,65,One year,Female,No
4676-MQUEA,50,One year,Male,No
8138-EALND,15,Month-to-month,Male,No
3580-HYCSP,72,Two year,Male,No
1352-HNSAW,72,Two year,Female,No
2075-PUEPR,55,Two year,Male,No
1982-FEBTD,23,Two year,Female,No
5301-GAUUY,32,Month-to-month,Male,Yes
5791-KAJFD,56,One year,Female,No
2654-VBVPB,1,Month-to-month,Female,No
1154-HYWWO,38,One year,Male,No
2501-XWWTZ,11,Month-to-month,Male,No
3716-UVSPD,1,Month-to-month,Male,No
6815-ABQFQ,56,One year,Male,No
7343-EOBEU,3,Month-to-month,Male,No
3701-SFMUH,7,Month-to-month,Male,No
6103-LIANB,59,Two year,Male,No
7319-VENRZ,7,Month-to-month,Male,No
5846-NEQVZ,71,Two year,Male,No
6967-QIQRV,15,One year,Male,No
5781-RFZRP,71,Two year,Male,No
0939-YAPAF,35,Month-to-month,Female,Yes
0308-IVGOK,11,One year,Female,No
7293-LSCDV,60,Two year,Female,No
7025-WCBNE,47,Two year,Male,No
5756-JYOJT,11,One year,Female,No
4710-FDUIZ,56,One year,Male,Yes
6030-REHUX,28,Month-to-month,Female,No
9548-LIGTA,61,Two year,Male,No
5150-LJNSR,31,One year,Male,No
8270-RKSAP,9,Month-to-month,Male,No
6522-YRBXD,35,Month-to-month,Male,No
2640-LYMOV,2,Month-to-month,Male,No
1218-VKFPE,12,Month-to-month,Female,Yes
3627-FHKBK,1,Month-to-month,Female,Yes
2865-TCHJW,4,Month-to-month,Female,Yes
1423-BMPBQ,1,Month-to-month,Female,No
2393-DIVAI,3,Month-to-month,Female,No
5192-EBGOV,1,Month-to-month,Female,Yes
4568-KNYWR,52,Two year,Male,No
8752-IMQOS,5,One year,Male,No
0742-LAFQK,72,Two year,Male,No
0795-LAFGP,71,Two year,Male,No
0619-OLYUR,72,Two year,Male,No
5512-IDZEI,46,One year,Male,No
0459-SPZHJ,63,Two year,Male,No
0215-BQKGS,30,Month-to-month,Male,No
9244-ZVAPM,1,Month-to-month,Male,No
0719-SYFRB,12,Month-to-month,Female,Yes
8208-EUMTE,16,Two year,Male,No
5172-MIGPM,4,Month-to-month,Male,No
1710-RCXUS,51,One year,Male,No
0374-FIUCA,65,Two year,Male,No
5839-SUYVZ,16,Month-to-month,Male,No
5173-ZXXXL,2,One year,Male,No
1096-ADRUX,66,One year,Female,No
2001-MCUUW,46,Two year,Male,No
2731-GJRDG,32,One year,Female,No
4723-BEGSG,72,Two year,Male,No
6516-NKQBO,38,Two year,Male,No
8672-OAUPW,51,One year,Male,No
8207-DMRVL,72,Two year,Male,No
3419-SNJJD,65,Month-to-month,Female,Yes
6543-CPZMK,9,Month-to-month,Male,Yes
4765-OXPPD,9,Month-to-month,Female,Yes
2804-ETQDK,66,Two year,Male,No
6689-VRRTK,44,One year,Female,No
7138-GIRSH,50,Two year,Male,No
9396-ZSFLL,15,Month-to-month,Female,No
6464-KEXXH,8,Month-to-month,Male,No
7134-MJPDY,66,One year,Female,No
5240-CAOYT,57,Month-to-month,Female,No
4059-IIEBK,7,Month-to-month,Female,No
4881-JVQOD,10,Month-to-month,Male,No
0516-UXRMT,62,One year,Female,No
4851-BQDNX,40,One year,Male,No
5148-HKFIR,20,Two year,Female,No
1009-IRMNA,7,Month-to-month,Female,Yes
3003-CMDUU,25,Month-to-month,Female,No
5016-IBERQ,23,Month-to-month,Male,No
6797-UCJHZ,66,One year,Female,No
2469-DTSGX,72,Two year,Female,No
4554-YGZIH,49,Month-to-month,Male,Yes
5099-BAILX,43,Month-to-month,Male,Yes
9931-KGHOA,46,Month-to-month,Female,No
1775-KWJKQ,72,Two year,Male,No
7665-VIGUD,10,One year,Male,No
9411-TPQQV,40,One year,Female,No
